tree->Scan("run:lumi:event", "bdt>0.91 & abs(cand_refit_tau_eta)<1.6 & (( ((abs(cand_refit_mass12-1.020)<0.02)*(cand_charge12==0)) + ((abs(cand_refit_mass13-1.020)<0.02)*(cand_charge13==0)) + ((abs(cand_refit_mass23-1.020)<0.02)*(cand_charge23==0)) )==0 & ( ((abs(cand_refit_mass12-0.782)<0.02)*(cand_charge12==0)) + ((abs(cand_refit_mass13-0.782)<0.02)*(cand_charge13==0)) + ((abs(cand_refit_mass23-0.782)<0.02)*(cand_charge23==0)) )==0 & abs(cand_charge)==1 & abs(cand_refit_tau_mass-1.8)<0.2& ((mu1_hlt_doublemu3_trk_tau3mu_type==83 & mu2_hlt_doublemu3_trk_tau3mu_type==83 & cand_mass12>0.5 & cand_mass12<1.7) |   (mu1_hlt_doublemu3_trk_tau3mu_type==83 & mu3_hlt_doublemu3_trk_tau3mu_type==83 & cand_mass13>0.5 & cand_mass13<1.7) |   (mu2_hlt_doublemu3_trk_tau3mu_type==83 & mu3_hlt_doublemu3_trk_tau3mu_type==83 & cand_mass23>0.5 & cand_mass23<1.7) ))", "colsize=20")
*********************************************************************************
*    Row   *                  run *                 lumi *                event *
*********************************************************************************
*     3281 *                    1 *                16887 *           3300776218 *
*    11987 *                    1 *                36805 *           3670365493 *
*    18822 *                    1 *                39832 *            737545919 *
*    20930 *                    1 *                41813 *           1628540320 *
*    21503 *                    1 *                25013 *           2660977868 *
*    21881 *                    1 *                24789 *           2560252123 *
*    24447 *                    1 *                33440 *           2156820207 *
*    31743 *                    1 *                27191 *           3640988694 *
*    32280 *                    1 *                21805 *           1218433945 *
*    32308 *                    1 *                21701 *           1171470827 *
*    36092 *                    1 *                 4865 *           2188090625 *
*    37104 *                    1 *                29461 *            367143577 *
*    38208 *                    1 *                29160 *            231987275 *
*    41015 *                    1 *                10587 *            466998267 *
*    41895 *                    1 *                42709 *           2031538441 *
*    44296 *                    1 *                 9227 *           4150083952 *
*    44449 *                    1 *                11780 *           1003616613 *
*    46110 *                    1 *                17659 *           3647819390 *
*    57145 *                    1 *                12226 *           1204239337 *
*    59787 *                    1 *                16249 *           3013894311 *
*    74407 *                    1 *                 8586 *           3861688154 *
*    81735 *                    1 *                 6222 *           2798249174 *
*    81776 *                    1 *                 5650 *           2540978108 *
*    88165 *                    1 *                37849 *           4139899013 *
*    93231 *                    1 *                18490 *           4021727684 *
*    93758 *                    1 *                27596 *           3823122156 *
*   102544 *                    1 *                40906 *           1220424787 *
*   109228 *                    1 *                41349 *           1419617753 *
*   109810 *                    1 *                41213 *           1358776807 *
*   117477 *                    1 *                18790 *           4156753678 *
*   118269 *                    1 *                26398 *           3284097412 *
*   118657 *                    1 *                14186 *           2085970998 *
*   120482 *                    1 *                25326 *           2801951514 *
*   122552 *                    1 *                13895 *           1954898761 *
*   125331 *                    1 *                16649 *           3193775689 *
*   127022 *                    1 *                 1266 *            569310622 *
*   137107 *                    1 *                 6152 *           2766830952 *
*   142264 *                    1 *                31563 *           1312596101 *
*   143806 *                    1 *                 9020 *           4056933798 *
*   160142 *                    1 *                23297 *           1889240974 *
*   176517 *                    1 *                15142 *           2515956108 *
*   181888 *                    1 *                30705 *            927029224 *
*   182095 *                    1 *                11353 *            811551424 *
*   188610 *                    1 *                15365 *           2616041766 *
*   193712 *                    1 *                19661 *            253794594 *
*   196313 *                    1 *                20646 *            696770492 *
*   200368 *                    1 *                 3436 *           1545440636 *
*   201834 *                    1 *                 3947 *           1774865574 *
*   202884 *                    1 *                 5098 *           2292984861 *
*********************************************************************************
==> 49 selected entries
(long long) 49




tree->Scan("run:lumi:event", "bdt>0.76 & abs(cand_refit_tau_eta)>=1.6 & (( ((abs(cand_refit_mass12-1.020)<0.02)*(cand_charge12==0)) + ((abs(cand_refit_mass13-1.020)<0.02)*(cand_charge13==0)) + ((abs(cand_refit_mass23-1.020)<0.02)*(cand_charge23==0)) )==0 & ( ((abs(cand_refit_mass12-0.782)<0.02)*(cand_charge12==0)) + ((abs(cand_refit_mass13-0.782)<0.02)*(cand_charge13==0)) + ((abs(cand_refit_mass23-0.782)<0.02)*(cand_charge23==0)) )==0 & abs(cand_charge)==1 & abs(cand_refit_tau_mass-1.8)<0.2& ((mu1_hlt_doublemu3_trk_tau3mu_type==83 & mu2_hlt_doublemu3_trk_tau3mu_type==83 & cand_mass12>0.5 & cand_mass12<1.7) |   (mu1_hlt_doublemu3_trk_tau3mu_type==83 & mu3_hlt_doublemu3_trk_tau3mu_type==83 & cand_mass13>0.5 & cand_mass13<1.7) |   (mu2_hlt_doublemu3_trk_tau3mu_type==83 & mu3_hlt_doublemu3_trk_tau3mu_type==83 & cand_mass23>0.5 & cand_mass23<1.7) ))", "colsize=20")
*********************************************************************************
*    Row   *                  run *                 lumi *                event *
*********************************************************************************
*     3512 *                    1 *                  297 *            133463046 *
*     3986 *                    1 *                16455 *           3106610787 *
*     5251 *                    1 *                16480 *           3117547516 *
*     6463 *                    1 *                16861 *           3289076587 *
*     7133 *                    1 *                39426 *            554733157 *
*     8085 *                    1 *                35801 *           3218876334 *
*     8141 *                    1 *                20772 *            753505535 *
*     9205 *                    1 *                39971 *            800076806 *
*     9678 *                    1 *                35811 *           3223496158 *
*    10052 *                    1 *                 6339 *           2850958599 *
*    12648 *                    1 *                19618 *            234718467 *
*    13586 *                    1 *                32773 *           1856741123 *
*    14589 *                    1 *                26169 *           3180909893 *
*    17201 *                    1 *                24104 *           2252208735 *
*    19078 *                    1 *                38761 *            255551603 *
*    19157 *                    1 *                39389 *            538108777 *
*    19534 *                    1 *                38811 *            278318686 *
*    20025 *                    1 *                34071 *           2440530879 *
*    20108 *                    1 *                34671 *           2710477653 *
*    26422 *                    1 *                34658 *           2704788875 *
*    26904 *                    1 *                14951 *           2429998535 *
*    29203 *                    1 *                40382 *            984894974 *
*    30743 *                    1 *                40462 *           1020699060 *
*    31451 *                    1 *                39623 *            643680268 *
*    31946 *                    1 *                27874 *           3948124861 *
